2017-12-12 00:13:10.5123||DEBUG|Labb10.Program|init main |url: |action: 
2017-12-12 00:13:12.2950||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-12 00:33:27.3076||DEBUG|Labb10.Program|init main |url: |action: 
2017-12-12 00:33:29.7063||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 6 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-12 00:33:41.5519||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 5 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-12 00:33:49.6820||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 5 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-12 00:33:55.7669||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 5 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-12 00:34:17.7187||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 5 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-12 00:34:21.3232||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 0 |url: http://localhost/api/customer/|action: GetCustomers
2017-12-12 00:34:24.8890||INFO|Labb10.Controllers.CustomerController|Getting all customers from database, count: 5 |url: http://localhost/api/customer/|action: GetCustomers
